Full Name,Educational Qualification,Honorific/Title,Date of Birth,Date of Joining Service,Date of Arrival,Voted/Non-voted,Domicile,Station,Substantive Appointment,Subst. Date,Officiating Appointment,Off. Date
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,N/A,Unattached,28-11-1904,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Mianwali,"A. C., 3rd grade (Settl. Training)",05-12-1904,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Sialkot,"A. C., 3rd grade (Settl. Training)",13-02-1905,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Rawalpindi,"A. C., 3rd grade (Settl. Training)",25-07-1905,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 3rd grade (Settl. Training)",21-10-1905,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Rupar,"A. C., 3rd grade (Settl. Training)",21-09-1906,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Amritsar,"A. C., 3rd grade",20-10-1907,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Rawalpindi,"A. C., 3rd grade",13-05-1908,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Calcutta,"A. C., 3rd grade",,Asst. Collector of Customs,18-11-1908
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Calcutta,"A. C., 3rd grade",,"Asst. Collector of Customs, Imperial Customs Service",19-11-1908
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Calcutta,"A. C., 3rd grade",,"Assistant Collector of Customs, Imperial Customs Service.",19-07-1909
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Multan,"A. C., 3rd grade",16-04-1910,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Lyallpur,"A. C., 3rd grade",19-05-1910,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Multan,"A. C., 3rd grade",,D. C.,08-08-1910
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Multan,"A. C., 3rd grade",08-09-1910,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,P. D. Khan,"A. C., 3rd grade",09-03-1911,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Sialkot,"A. C., 3rd grade",,D. C.,08-03-1911
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Transit,"A. C., 3rd grade",28-08-1911,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,P. D. Khan,"A. C., 3rd grade",01-09-1911,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Rawalpindi,"A. C., 3rd grade",,Dt. J.,06-05-1913
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Rawalpindi,"A. C., 2nd grade",14-09-1913,Dt. J.,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Rawalpindi,"A. C., 3rd grade",26-11-1913,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,P. D. Khan,"A. C., 3rd grade",02-12-1913,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 3rd grade",24-09-1914,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 2nd grade",18-09-1916,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 3rd grade",05-11-1916,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 2nd grade",08-11-1916,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 1st grade",01-10-1917,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 2nd grade",11-10-1917,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 1st grade",25-10-1917,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 1st grade",31-10-1917,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 1st grade",06-12-1917,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 1st grade",29-03-1919,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 1st grade",29-08-1919,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 2nd grade",25-09-1919,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A C., Time Scale",01-12-1919,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Hoshiarpur,"A. C, Time Scale",null,D. C.,09-11-1920
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Simla,"D. C, Time Scale",23-03-1922,D. C.,null
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Lahore,Home Secretary to G. P.,30-03-1924,D. C.,null
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Simla,"D. C, Time Scale",18-11-1924,D. C.,null
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Hissar,"D. C., Time Scale",03-11-1926,D. C.,null
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ferozepore,"D. and S Judge, Time Scale",01-03-1927,"Addl. Sess. Judge, Multan",21-08-1927
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ferozepore,"D. and S Judge, Time Scale",09-10-1927,"Addl. Sess. Judge, Multan",null
"Addison, James","M.A., B.Sc., Aberd.",The Hon'ble Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Gurgaon,"A. C, 3rd grade (Settl. Training)",30-11-1903,null,null
"Addison, James","M.A., B.Sc., Aberd.",The Hon'ble Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Ambala,"A. C, 3rd grade (Settl. Training)",16-02-1904,null,null
"Addison, James","M.A., B.Sc., Aberd.",The Hon'ble Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Gurgaon,"A. C, 3rd grade (Settl. Training)",31-01-1905,null,null
"Addison, James","M.A., B.Sc., Aberd.",The Hon'ble Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Kangra,"A. C, 3rd grade (Settl. Training)",09-04-1906,null,null
"Addison, James","M.A., B.Sc., Aberd.",The Hon'ble Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Delhi,"A. C., 3rd grade",22-02-1906,null,null
"Addison, James","M.A., B.Sc., Aberd.",The Hon'ble Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Delhi,"A. C., 3rd grade",02-03-1906,"Secy., Delhi Municipality",null
"Addison, James","M.A., B.Sc., Aberd.",The Hon'ble Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Delhi,"A. C., 3rd grade",01-11-1906,"Secy., Delhi Municipality",null
"Addison, James","M.A., B.Sc., Aberd.",The Hon'ble Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Lyallpur,"A. C., 3rd grade",17-08-1907,(Spl. duty),null
"Addison, James","M.A., B.Sc., Aberd.",The Hon'ble Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Gujranwala,"A. C., 3rd grade",19-02-1908,(Spl. duty),null
"Addison, James","M.A., B.Sc., Aberd.",The Hon'ble Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Lyallpur,"A. C., 3rd grade",02-04-1908,(Spl. duty),null
"Addison, James","M.A., B.Sc., Aberd.",The Hon'ble Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Gurgaon,"A. C., 3rd grade",null,D. C.,28-06-1908
