Full Name,Educational Qualification,Honorific/Title,Date of Birth,Date of Joining Service,Date of Arrival,Voted/Non-voted,Domicile,Station,Substantive Appointment,Subst. Date,Officiating Appointment,Off. Date
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,Unattached,28-11-1904,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Mianwali,"A.C., 3rd grade (SettL. Train.ing)",05-12-1904,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Sialkot,"A.C., 3rd grade (Settl. Train.ing)",13-02-1905,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Rawalpindi,"A.C., 3rd grade (Settl. Train.ing)",25-07-1905,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Ambala,"A.C., 3rd grade (Settl. Train.ing)",31-10-1905,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Rupar,"A.C., 3rd grade (Settl. Train.ing)",21-09-1906,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Amritsar,"A.C., 3rd grade",29-10-1907,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Rawalpindi,"A.C., 3rd grade",13-05-1908,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Calcutta,"A.C., 3rd grade",13-05-1908,Asst. Collector of Customs,18-11-1908
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Calcutta,"A.C., 3rd grade",13-05-1908,Asst. Collector of Customs Impl Customs Service,19-11-1908
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Calcutta,"A.C., 3rd grade",13-05-1908,Asst. Collector of Customs Impl Customs Service Assistant Collector of Customs,19-07-1909
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Multan,"A.O., 3rd grade",16-04-1910,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Lyallpur,"A.O., 3rd grade",19-05-1910,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Multan,D.C.,08-06-1910,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Multan,D.C.,08-09-1910,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,P. D. Khan,"A. C., 3rd grade",09-03-1911,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Sialkot,"A. C., 3rd grade",09-03-1911,D.C.,03-05-1911
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Transit,"A. C., 3rd grade",09-03-1911,D.C.,26-08-1911
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,P. D. Khan,"A. C., 3rd grade",09-03-1911,D.C.,01-10-1911
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Rawalpindi,"A. C., 3rd grade",09-03-1911,Dt.J.,06-05-1913
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Rawalpindi,"A.C., 2nd grade",14-09-1913,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Rawalpindi,"A.C., 2nd grade",14-09-1913,"A. O., 3rd grade",26-11-1913
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,P. D. Khan,"A.C., 2nd grade",14-09-1913,"A. O., 3rd grade",02-12-1913
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Ambala,"A.O., 3rd grade",24-09-1914,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,"O., 3rd grade",05-11-1916,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,"O., 3rd grade",08-11-1916,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,"O., 3rd grade",01-10-1917,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,"O., 3rd grade",11-10-1917,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,"A. O., 1st grade",25-10-1917,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,"A. O., 2nd grade",31-10-1917,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,"A. O., 1st grade",06-12-1917,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,"A.O., 2nd grade",29-03-1919,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,"A. O., Ist grade",29-08-1919,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,"A. O.,2nd grade",25-09-1919,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,,"A C., Time Scale",01-12-1919,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Hoshiarpur,"A. C., Time Scale D.C.",09-11-1920,,
"Abraham, Edgar Garton Furtado",B.A.,Oon. C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic Domicile,Simla,"D. O.,Time Scale",23-03-1922,,
