Full Name,Educational Qualification,Honorific/Title,Date of Birth,Date of Joining Service,Date of Arrival,Voted/Non-voted,Domicile,Station,Substantive Appointment,Subst. Date,Officiating Appointment,Off. Date
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Mianwali,"A. C., 3rd grade (Settl. Train.)",05-12-1904,,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1881,21-10-1904,29-11-1904,Non-voted,Non-Asiatic,Sialkot,"A. C., 3rd grade",13-02-1905,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1882,22-10-1904,30-11-1904,Non-voted,Non-Asiatic,Rawalpindi,"A. C., 3rd grade (Settl. Train.)",25-07-1905,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1883,23-10-1904,01-12-1904,Non-voted,Non-Asiatic,Ambala,"A. C., 3rd grade",21-10-1905,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1884,24-10-1904,02-12-1904,Non-voted,Non-Asiatic,Rupar,"A. C., 3rd grade",21-09-1906,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1885,25-10-1904,03-12-1904,Non-voted,Non-Asiatic,Amritsar,"A. C., 3rd grade",29-10-1907,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1886,26-10-1904,04-12-1904,Non-voted,Non-Asiatic,Rawalpindi,"A. C., 3rd grade",13-05-1908,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1887,27-10-1904,05-12-1904,Non-voted,Non-Asiatic,Calcutta,"A. C., 3rd grade",-,Asst. Collector of Customs,18-11-1908
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1888,28-10-1904,06-12-1904,Non-voted,Non-Asiatic,Calcutta,"A. C., 3rd grade",-,Do. Impl. Customs Service,19-11-1908
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1889,29-10-1904,07-12-1904,Non-voted,Non-Asiatic,Calcutta,"A. C., 3rd grade",-,"Assistant Collector of Customs, Imperial Customs Service",19-07-1909
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Multan,"A.C., 3rd grade",16-04-1910,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Lyallpur,"A.C., 3rd grade",19-05-1910,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Multan,"A.C., 3rd grade",-,D.C.,08-06-1910
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Multan,"A.C., 3rd grade",08-09-1910,-,-
